,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
101,GIVA,https://www.crunchbase.com/organization/giva-d6b4,Jewelry,"Bangalore, Karnataka, India",GIVA is a silver jewellery startup.,2019,01/01/2019,https://www.giva.co/,12.966180000000065,77.58690000000007
102,Kuvera.in,https://www.crunchbase.com/organization/kuvera-in,"Commercial, Financial Services, FinTech, Wealth Management","Bangalore, Karnataka, India",An online platform for mutual fund investments.,2016,01/01/2016,https://kuvera.in/,12.966180000000065,77.58690000000007
103,Unbox Robotics,https://www.crunchbase.com/organization/unboxrobotics-labs,"Artificial Intelligence, Industrial Automation, Logistics, Machine Learning, Robotics, Supply Chain Management","Bangalore, Karnataka, India",Unbox Robotics builds on-demand AI-driven warehouse robotics solutions to automate and improve logistics operations.,2019,20/05/2019,https://unboxrobotics.com,12.930890000000034,77.58937000000003
104,RetainIQ,https://www.crunchbase.com/organization/retainiq,"E-Commerce, Internet, Marketing","Bangalore, Karnataka, India",RetainIQ is an e-commerce marketing company that works with global brands and helps to grow online sales.,2021,01/06/2021,https://retain-iq.com,12.966180000000065,77.58690000000007
105,SigTuple,https://www.crunchbase.com/organization/sigtuple,"Analytics, Artificial Intelligence, Big Data, Health Care, Machine Learning, Software","Bangalore, Karnataka, India",SigTuple builds intelligent solutions for medical diagnosis using state of the art machine learning techniques.,2015,24/07/2015,https://www.sigtuple.com,12.966180000000065,77.58690000000007
106,Exponent Energy,https://www.crunchbase.com/organization/exponent-energy,"Automotive, Electric Vehicle","Bangalore, Karnataka, India",Exponent Energy is a start-up focused on developing fast charging technology for Electric Vehicles.,2020,01/01/2020,https://www.exponent.energy/,12.966180000000065,77.58690000000007
107,Niki,https://www.crunchbase.com/organization/niki-ai,"Android, Natural Language Processing","Bangalore, Karnataka, India",Full Stack Ramu Kaka | Ushering Bharat into Internet Economy 2.0,2015,04/05/2015,https://niki.ai,12.930230000000051,77.60054000000008
108,WizKlub,https://www.crunchbase.com/organization/wizklub,"EdTech, Education, Higher Education","Bangalore, Karnataka, India",Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children.,2018,01/02/2018,https://wizklub.com/,12.966180000000065,77.58690000000007
109,VRO Hospitality,https://www.crunchbase.com/organization/vro-hospitality,"Hospitality, Hotel, Restaurants","Bangalore, Karnataka, India","VRO Hospitality operates multi-format restaurants, cafes, and lounges across 18 outlets in Bengaluru.",2018,01/01/2018,,12.958980000000054,77.63546000000008
110,SpotDraft,https://www.crunchbase.com/organization/spotdraft,"Computer, Internet, Legal, Legal Tech, SaaS, Software","Bangalore, Karnataka, India","SpotDraft makes end-to-end contract lifecycles smoother, faster, and easier so lawyers get more time to focus on work that really matters",2017,01/01/2017,https://www.spotdraft.com/,12.966180000000065,77.58690000000007
111,Quintype Technologies Pvt Ltd,https://www.crunchbase.com/organization/quintype,"Analytics, CMS, Content Syndication, Digital Media, Mobile, Online Portals, Publishing, SaaS","Bangalore, Karnataka, India","API Driven CMS that allows publishers and content creators to create rich content, distribute across platforms, and enable monetization.",2014,16/09/2014,https://www.quintype.com/,12.966180000000065,77.58690000000007
112,Verloop.io,https://www.crunchbase.com/organization/verloop-2,"Customer Service, Information Technology, Internet, Sales Automation","Bangalore, Karnataka, India",Verloop.io is the world's leading customer support automation platform.,2016,01/10/2016,https://verloop.io,12.966180000000065,77.58690000000007
113,Baaz,https://www.crunchbase.com/organization/baaz,"E-Commerce, Information Technology, Retail Technology, SaaS, Shopping, Social Shopping","Bangalore, Karnataka, India",Transforming traditional ecommerce stores into interactive ones.,2020,01/03/2020,https://baaz.live,12.966180000000065,77.58690000000007
114,Orai Robotics,https://www.crunchbase.com/organization/orai-robotics,"Artificial Intelligence, Information Technology, Robotics, Virtual Assistant","Bangalore, Karnataka, India",Orai Robotics is a conversational AI platform that offers end-to-end solutions and services for medium and large enterprises,2020,01/01/2020,https://www.orai-robotics.com,12.930890000000034,77.58937000000003
115,Eka.Care,https://www.crunchbase.com/organization/eka-care,"Health Care, Medical","Bangalore, Karnataka, India",Eka.Care is a digitally enabled and connected healthcare ecosystem for better health outcomes.,2020,01/01/2020,https://www.eka.care/,12.918430000000058,77.60538000000008
116,Zymrat,https://www.crunchbase.com/organization/zymrat,"Fashion, Fitness, Retail, Shoes","Bangalore, Karnataka, India",Zymrat is a performance Wear Brand,2018,15/02/2018,https://zymrat.com,12.966180000000065,77.58690000000007
117,Hasura,https://www.crunchbase.com/organization/hasura,"Cloud Infrastructure, Developer APIs, Developer Tools, Open Source, Software","Bangalore, Karnataka, India",Hasura is a software technology company that provides developer-focused tooling products.,2017,01/01/2017,http://hasura.io/,12.966180000000065,77.58690000000007
118,Turnip,https://www.crunchbase.com/organization/turnip-2a32,"Gaming, Media and Entertainment, Video Streaming","Bangalore, Karnataka, India",Turnip is a live game streaming and community platform.,2020,01/01/2020,https://turnip.gg/,12.966180000000065,77.58690000000007
119,Cora Health,https://www.crunchbase.com/organization/cora-healthcare,"E-Commerce, E-Commerce Platforms, Health Care, Nutrition, Personal Health, Wellness","Bangalore City, Karnataka, India",Cora Health is a Bengaluru-based nutrition and health foods marketplace,2020,01/05/2020,https://www.corahealth.in,12.966180000000065,77.58690000000007
120,Ad2pro Media Solutions Pvt. Ltd. (2adpro),https://www.crunchbase.com/organization/2adpro-media-solutions,"Ad Targeting, Advertising, Advertising Platforms, Digital Marketing, Digital Media, Marketing Automation, Mobile Advertising, Social Media Marketing","Bangalore, Karnataka, India",Advertising design and production services,2006,01/09/2006,http://www.2adpro.com,12.966180000000065,77.58690000000007
121,Oliveboard,https://www.crunchbase.com/organization/oliveboard,"Education, Internet, Video","Bangalore, Karnataka, India","Oliveboard is an online platform that enables students to learn and prepare for exams such as CAT, GMAT, CMAT, XAT, GRE, and bank exams.",2012,01/01/2012,http://www.oliveboard.in/,13.182340000000067,77.56342000000006
122,The Better India,https://www.crunchbase.com/organization/the-better-india,"News, Video","Bangalore, Karnataka, India",The Better India is an attempt to bring out the happy stories,2008,01/01/2008,http://thebetterindia.com,12.959030000000041,77.58978000000008
123,Rocketium,https://www.crunchbase.com/organization/rocketium,"Marketing, Social Media, Software, Video","Bangalore, Karnataka, India",Rocketium help businesses improve in-app and website conversions through creative automation.,2015,01/04/2015,https://rocketium.com,12.966180000000065,77.58690000000007
124,Sensibull,https://www.crunchbase.com/organization/sensibull,"Financial Services, Trading Platform","Bangalore, Karnataka, India",Sensibull is an investment management platform for investors in retail.,2017,01/08/2017,https://sensibull.com/,12.966180000000065,77.58690000000007
125,Revos,https://www.crunchbase.com/organization/revos,"Artificial Intelligence, Automotive, Electric Vehicle, Internet of Things, Software","Bangalore, Karnataka, India",Revos is a smart mobility platform that provides AI-enabled IoT solutions for electric vehicles.,2017,01/01/2017,https://www.revos.in,12.966180000000065,77.58690000000007
126,MoveInSync,https://www.crunchbase.com/organization/moveinsync,"Enterprise Software, Logistics, Transportation","Bangalore, Karnataka, India",MoveInSync is in the business of organizing transportation for India. The company has built a transport management,2009,01/01/2009,http://www.moveinsync.com/,12.966180000000065,77.58690000000007
127,Frnd,https://www.crunchbase.com/organization/frnd,"Apps, Social Media","Bangalore, Karnataka, India","FRND is clean, sleaze-free and positive environment where you can protect your identity and make friends.",2019,01/01/2019,https://frnd.app,12.966180000000065,77.58690000000007
128,Pi Ventures,https://www.crunchbase.com/organization/pi-ventures,"Artificial Intelligence, Financial Services, Machine Learning, Venture Capital","Bangalore, Karnataka, India",Pi Ventures is an early-stage venture fund that backs product and technology companies.,2016,01/01/2016,http://www.piventures.in/,12.984480000000076,77.60095000000007
129,MyCaptain,https://www.crunchbase.com/organization/mycaptain,"Career Planning, E-Learning, EdTech, Education","Bangalore, Karnataka, India",MyCaptain is an online platform that helps students discover and pursue their passions.,2016,01/04/2016,https://www.mycaptain.in/,12.966180000000065,77.58690000000007
130,Bimaplan,https://www.crunchbase.com/organization/bimaplan,"Financial Services, Insurance","Bangalore, Karnataka, India",Affordable Insurance for the next billion Indians,2020,01/01/2020,https://bimaplan.co/,12.972080000000062,77.74911000000003
131,Locale.ai,https://www.crunchbase.com/organization/locale-0488,"GPS, Information Technology, Internet, SaaS, Software","Bangalore, Karnataka, India",Location Analytics Software for Operations &  City Teams to analyze ground operations,2019,24/04/2019,https://locale.ai/,12.940780000000075,77.62447000000003
132,Onco.com,https://www.crunchbase.com/organization/onco-com,"Health Care, Hospital, Online Portals","Bangalore, Karnataka, India",Onco.com is an internet aggregator in cancer care.,2017,05/07/2017,https://www.onco.com,12.966180000000065,77.58690000000007
133,Invento Robotics,https://www.crunchbase.com/organization/invento-makerspaces,"Artificial Intelligence, Customer Service, Machine Learning, Robotics","Bangalore, Karnataka, India",Invento Robotics specializes in developing service robots intended for customer interactions.,2016,11/10/2016,http://www.mitrarobot.com,12.91315000000003,77.63240000000008
134,Dropshop Network,https://www.crunchbase.com/organization/dropshop-network,"Logistics, Supply Chain Management","Bangalore, Karnataka, India",Building technology to make distribution efficient and cheaper for large and small FMCG companies.,2019,01/01/2019,https://dropshop.network/home,13.021210000000053,77.50212000000005
135,Zocket,https://www.crunchbase.com/organization/zocket,"Digital Marketing, Marketing","Bangalore, Karnataka, India",Zocket is a digital marketing platform that helps businesses launch their digital ads in less than 30 seconds.,2021,01/01/2021,https://zocket.com/,12.966180000000065,77.58690000000007
136,Able Jobs,https://www.crunchbase.com/organization/able-jobs,"Human Resources, Recruiting, Training","Bangalore, Karnataka, India","Able Jobs provides an app for job training in sales, support, and marketing.",2019,01/01/2019,https://ablejobs.co/,12.966180000000065,77.58690000000007
137,worxogo,https://www.crunchbase.com/organization/worxogo,"Artificial Intelligence, Banking, Information Technology, Insurance, Machine Learning, Pharmaceutical, SaaS, Software","Bangalore, Karnataka, India","worxogo's nudge coach builds high performign Sales, Customer service teams",2015,01/01/2015,https://www.worxogo.com/,12.966180000000065,77.58690000000007
